"Rank","Name","Symbol","revenue_ttm","price (USD)","country"
"1","Microsoft","MSFT","211915000000","328.79","United States"
"2","Sony","SONY","88606372872","82.35","Japan"
"3","Tencent","TCEHY","82518904123","42.05","China"
"4","NetEase","NTES","14207227094","104.04","China"
"5","Nintendo","7974.T","12785017901","43.27","Japan"
"6","Sea (Garena)","SE","12591238000","37.93","Singapore"
"7","Activision Blizzard","ATVI","8706000000","91.98","United States"
"8","Electronic Arts","EA","7583000000","120.55","United States"
"9","Bandai Namco","7832.T","7245734020","23.35","Japan"
"10","GameStop","GME","5785900000","18.37","United States"
"11","Take 2 Interactive","TTWO","5532200000","141.83","United States"
"12","Entain","ENT.L","5207984874","14.78","Isle of Man"
"13","CyberAgent","4751.T","5155968333","6.41","Japan"
"14","Aristocrat","ALL.AX","3630150235","26.42","Australia"
"15","Embracer Group","EMBRAC-B.ST","3577144150","2.34","Sweden"
"16","Sega Sammy Holdings","6460.T","3142549118","20.08","Japan"
"17","Nexon","3659.T","2878435258","20.42","Japan"
"18","Playtika","PLTK","2578000000","9.63","Israel"
"19","Square Enix","9684.T","2567448133","38.18","Japan"
"20","Roblox","RBLX","2432821000","28.18","United States"
"21","Ubisoft","UBI.PA","2372224889","29.8","France"
"22","37 Interactive Entertainment","002555.SZ","2334316552","3.39","China"
"23","Konami Holdings","9766.T","2287590343","58.38","Japan"
"24","Happinet","7552.T","2283780692","18.02","Japan"
"25","Netmarble","251270.KS","2002600914","32.13","South Korea"
"26","Kadokawa","9468.T","1816530765","23.66","Japan"
"27","Unity Software","U","1807694000","37.47","United States"
"28","Spin Master","TOY.TO","1781900000","26.35","Canada"
"29","Playtech","PTEC.L","1715485205","6.62","Isle of Man"
"30","NCsoft","036570.KS","1709750700","188.61","South Korea"
"31","IGG Inc","0799.HK","1678260603","0.47","Singapore"
"32","NHN Corp","181710.KS","1632717095","19.5","South Korea"
"33","Zhejiang Century Huatong","002602.SZ","1593407651","0.74","China"
"34","Krafton","259960.KS","1419845877","116.24","South Korea"
"35","Huya","HUYA","1366623889","2.66","China"
"36","Corsair Gaming","CRSR","1348371000","15.21","United States"
